標籤,名稱,角色,描述,獎勵,目標,目標敵人,層級
1001,初次見面,林瑞瑜,擊敗盜匪3名,1002=1,,2001=3,-1
1002,驅趕盜匪,林瑞瑜,擊敗盜匪,1002=2,,2001=5,0
1003,漏網之魚,林瑞瑜,擊敗流狗肉,1002=3,,2010=1,1
1004,煩惱,林瑞瑜,擊敗盜匪,1002=4,,2001=7,2
1005,藥單,林瑞瑜,擊敗盜匪,1002=5,,2001=8,3
1006,取回藥方,林瑞瑜,擊敗盜匪,1002=6,,2001=9,4
1007,爭執,林瑞瑜,擊敗盜匪,1002=7,,2001=10,5
1008,回到藥局,林瑞瑜,擊敗盜匪,1002=8,,2001=11,6
1009,交付藥方,林瑞瑜,擊敗盜匪,1002=9,,2001=12,7
1010,情報,林瑞瑜,擊敗盜匪,1002=10,,2001=13,8
1011,失誤,林瑞瑜,擊敗盜匪,1002=11,,2001=14,9
1012,回報,林瑞瑜,擊敗盜匪,1002=12,,2001=15,10
1013,物歸原主,林瑞瑜,擊敗盜匪,1002=13,,2001=16,11
1014,救援,林瑞瑜,擊敗盜匪,1002=14,,2001=17,12
1015,取回臉譜,林瑞瑜,擊敗盜匪,1002=15,,2001=18,13
1016,回報,林瑞瑜,擊敗盜匪,1002=16,,2001=19,14
1017,盜匪首領,林瑞瑜,擊敗盜匪,1002=17,,2001=20,15
1018,回歸,林瑞瑜,擊敗盜匪,1002=18,,2001=21,16
